TARGET,X1,X2,X3,X4,X5
344.2,4330,9965,2436,6,A
412.6,5190,6590,3108,10,B
330.1,4152,7500,2294,8,A
498.6,6272,13773,5032,9,A
331.5,4170,5000,2370,7,A
337.4,4244,5142,2124,6,C
359.4,4521,5000,3220,7,A
320.4,4030,10000,2208,6,A
333.5,4195,6835,2582,5,B
409.4,5150,5093,4818,8,A
313,3937,5000,2624,6,A
344.5,4333,6768,2844,6,A
315.5,3968,5000,2196,6,A
575,7233,12288,4616,9,A
326.2,4103,5000,2536,6,A
298.2,3751,5000,2129,7,A
313.1,3938,6949,2612,7,C
344.9,4338,10000,2099,7,A
330.7,4160,5000,2408,7,A
348,4377,9001,2840,7,A
317.5,3994,4450,1400,7,A
330.8,4161,5000,2560,6,B
357.8,4501,12255,2631,6,A
414.7,5216,12972,3796,6,A
318.8,4010,4717,2512,7,A
346.2,4355,5000,2655,7,A
245.1,3083,4142,1892,5,A
317.4,3992,5000,2596,7,A
247.3,3111,4012,1994,6,A
320.8,4035,13275,1516,6,A
328.8,4136,4717,2824,6,A
293.6,3693,4289,2286,7,A
280.1,3523,10688,3014,7,A
342.5,4308,4717,2802,7,A
337.2,4241,5000,3112,9,A
336.5,4233,6842,2269,6,A
315.6,3970,6675,2392,6,A
296.5,3729,5683,2982,6,A
239.7,3015,5450,2112,5,A
318.4,4005,4717,3222,7,A
431.5,5428,6733,2880,7,C
349.8,4400,7242,2496,7,A
344,4327,5683,3136,9,A
358.3,4507,6138,2500,7,A
346.2,4355,11250,2830,6,C
490.7,6173,5683,4100,6,B
371.9,4678,7001,2320,7,A
325.3,4092,4717,2592,7,A
340.5,4283,8489,2368,6,A
432.5,5440,7139,2340,7,A
334.7,4210,4584,3288,7,A
314.3,3953,7193,2740,7,A
405.5,5101,3867,2431,7,A
326,4101,4262,2090,7,A
285.6,3592,5325,3060,5,A
345.9,4351,8005,2490,7,A
317.3,3991,7234,2289,7,A
277.8,3494,5959,2036,5,A
306.8,3859,7785,2038,6,A
265.7,3342,3887,2364,6,C
356.8,4488,5906,2368,8,A
299.9,3772,5401,1800,6,A
287.8,3620,3204,1800,6,A
296,3723,2947,1800,6,A
300.6,3781,4241,1800,6,A
566.3,7124,8249,4390,8,A
286,3597,7655,3013,7,A
351.2,4418,10000,2232,7,A
365.1,4592,5058,3362,8,B
330,4151,6330,2644,6,A
354.1,4454,4984,2441,7,B
335.8,4224,6111,2262,7,A
345,4340,20000,1754,6,A
356.4,4483,5967,3442,8,C
379,4767,7940,3894,8,A
352.1,4429,6003,2178,7,A
437.3,5501,7000,2628,6,A
404.2,5084,5488,3780,8,B
283.4,3565,4774,3128,5,A
326.4,4106,6029,2620,6,A
309.2,3889,5057,2244,7,A
332.9,4187,5682,2484,7,A
260.4,3275,3819,2468,6,A
339.3,4268,5651,2454,6,B
307.9,3873,5005,2078,6,C
346.3,4356,8145,2664,6,B
479.1,6027,9642,2952,7,A
335.6,4221,6475,2684,6,A
261.5,3289,4175,1536,4,A
355.1,4467,5400,2650,7,B
356.8,4488,5005,2660,6,A
287.3,3614,3288,2764,7,A
331.9,4175,5400,2536,6,A
387.1,4869,8238,3972,9,A
307.6,3869,5092,2539,6,C
360.9,4540,5400,2508,6,B
466.1,5863,8970,2952,7,A
340,4277,5400,2714,6,B
303.9,3823,8200,2608,6,B
303.5,3818,4200,2670,10,A
301.4,3791,6444,2886,6,A
339.9,4275,5035,3264,6,B
281.3,3538,3960,2590,8,A
530.1,6668,6227,4013,8,A
310.4,3904,3150,2456,7,C
344.6,4335,8151,4532,5,A
525.1,6605,6257,4124,9,A
285.3,3589,5024,2556,6,A
302.3,3802,4200,2272,8,B
243.3,3060,3150,2496,4,A
334.9,4213,6012,3185,7,A
327.5,4119,5968,3216,7,A
586.6,7379,8890,4791,9,A
347.3,4369,7355,3516,7,A
267.6,3366,5077,876,5,A
274.2,3449,3617,2784,5,A
404.6,5089,6253,3077,6,B
339.9,4275,6300,1730,7,A
420.8,5293,7861,4182,12,A
283.5,3566,4200,2488,6,A
620.3,7803,6255,6016,10,A
346.3,4356,4050,2756,6,B
295.07,3711,5131,1840,6,C
297.6,3743,3628,2736,7,A
310.7,3908,6001,2124,10,A
442.6,5567,4800,3960,6,A
277.5,3490,4050,2108,6,A
310.6,3907,3639,2784,7,C
327.1,4114,6754,2705,6,A
307.5,3868,2100,2244,6,A
243.3,3060,4200,2508,6,A
352.8,4438,6001,1964,8,B
258.6,3253,5460,2188,6,A
295.5,3717,4050,2592,6,A
490.7,6173,6011,4368,9,A
330.3,4155,6317,2385,6,A
290.8,3658,6850,2568,6,A
350.7,4411,9600,4063,9,A
301.1,3787,6000,2098,7,A
278.7,3506,6400,2161,8,C
298.2,3751,5824,2696,6,A
249,3132,4200,1976,5,A
287.5,3616,6000,2347,8,A
434.3,5463,13267,3813,6,B
508.8,6400,3911,3836,7,A
338.8,4262,10537,2100,7,A
363.5,4572,7468,2815,10,B
335.3,4218,6400,3404,7,C
353.5,4447,12600,2910,6,A
291.5,3667,6000,2080,8,A
325.8,4098,4900,2835,8,A
368.2,4631,7200,3223,7,B
361.7,4550,6000,2530,7,A
286.3,3601,6000,2296,8,A
315.7,3971,6400,2198,8,C
282.4,3552,7770,1800,5,A
337.5,4245,5914,2594,6,A
320.1,4026,5290,2800,7,B
272.9,3433,2800,2663,6,A
243.2,3059,4868,1628,5,A
305,3836,7448,2358,8,A
277.7,3493,2800,2324,7,A
316.9,3986,4449,2302,6,B
297.1,3737,6000,2456,7,A
467,5874,4800,3924,9,A
302.4,3804,7440,2040,6,A
253.2,3185,4200,2507,6,A
375.1,4718,6000,2370,7,A
242.9,3055,4151,2068,7,A
307.1,3863,6000,2308,9,A
274.1,3448,6781,2064,5,A
237,2981,3200,1292,6,C
253,3182,6300,2507,6,A
299.4,3766,6081,2212,5,A
286.9,3609,7912,1848,6,A
327.5,4119,6000,2466,7,A
367.5,4623,4895,2728,7,A
308,3874,5160,2658,7,A
516.7,6500,6000,4623,11,A
348.7,4386,7000,2467,9,A
367.1,4618,6750,2216,8,A
299.4,3766,3900,3475,7,C
296.5,3729,7416,2164,6,A
360,4528,4544,2704,6,A
325.9,4099,3500,2632,6,C
360.8,4538,6000,2466,7,C
283,3560,3200,2120,7,C
368,4629,2295,2718,7,A
297.8,3746,7442,2438,6,A
239.9,3017,2800,2364,7,A
293.7,3694,6548,2164,5,A
412.4,5187,6000,2991,6,A
382,4805,7300,2524,7,A
275,3459,4294,2295,7,A
318.2,4002,8001,3228,5,A
266.3,3350,6089,2180,5,A
282.2,3550,4392,2773,7,A
325.2,4091,5950,2448,8,A
287.8,3620,6750,2060,6,A
354.2,4455,6000,2936,8,A
289.5,3641,4335,2087,7,C
186.3,2343,4300,1926,5,A
398.1,5008,7287,2892,6,A
283.5,3566,4824,1795,7,A
254.5,3201,5095,2184,5,A
303.9,3823,6000,1904,6,A
262.1,3297,2100,1800,6,B
273.1,3435,7258,1992,5,A
210.9,2653,4281,2047,5,A
272.4,3426,4416,2413,8,A
279.6,3517,6026,2376,9,A
348.9,4389,5300,2616,8,A
325.2,4091,6750,2710,6,A
323,4063,2100,2414,6,B
337.3,4243,6730,2926,7,C
182.7,2298,1616,1439,5,A
285.8,3595,5144,2732,6,A
259,3258,4200,2962,6,A
331.1,4165,5307,2232,8,A
329.2,4141,5663,2212,7,A
239.3,3010,3420,2107,6,A
272,3421,6073,1928,5,A
207.9,2615,2968,2027,5,A
294.4,3703,6750,2216,5,A
312.5,3931,6099,2638,6,A
401.7,5053,8056,3156,8,A
288.5,3629,3150,2342,7,A
305.4,3841,6291,2126,6,A
283.9,3571,4200,2697,7,A
272.2,3424,5507,2592,7,A
271.3,3412,5769,2136,6,A
300.2,3776,6444,2808,6,A
279.8,3519,6720,2492,6,A
509.4,6408,24677,6100,8,B
298.9,3760,7133,2408,6,A
325,4088,3850,2235,8,C
356,4478,6750,2526,7,B
241.3,3035,3360,2119,6,A
314.3,3953,7109,2239,8,A
366.3,4608,6327,3156,7,A
323.1,4064,5643,3048,8,A
286.9,3609,6044,2634,5,A
293.2,3688,7408,2459,5,A
293.8,3696,5835,2680,6,A
167.6,2108,1980,1502,3,A
253.3,3186,3402,2057,6,A
269.3,3387,3850,1816,6,A
310.2,3902,7200,2370,5,A
217.9,2741,3360,2160,6,A
395,4969,4291,2815,6,A
298.5,3755,6514,2118,8,A
561.8,7067,9604,3960,8,A
220,2767,3205,2117,6,A
334.4,4206,7622,2896,6,A
331.2,4166,7796,2760,7,A
311.9,3923,6750,2336,7,A
286.3,3601,3628,2232,5,B
311.9,3923,13209,2304,6,A
144.6,1819,1017,1293,5,A
292.5,3679,5602,2643,6,A
233.7,2939,3360,2409,6,A
287.8,3620,6000,2116,6,A
309.5,3893,5958,2431,6,A
278.4,3502,4343,2064,6,A
222.4,2797,3850,1832,5,A
319.9,4024,6539,3045,8,B
306.5,3855,6021,2092,6,A
240.9,3030,3728,1698,6,A
270.7,3405,5013,2339,6,A
314.2,3952,3486,2344,8,A
306.5,3855,6000,1984,6,A
402.5,5063,5981,3434,9,B
358.4,4508,12853,2329,7,B
309.1,3888,6794,2260,8,A
348.9,4389,4311,2972,6,A
331.3,4167,8323,2116,8,A
562,7069,7682,4184,8,A
246.4,3099,3780,2412,6,A
298,3748,5931,2912,8,A
